epi_sunday,RA,cases,incidencia_100k,populacao,prediction,config,modelo
2025-05-18,ARNIQUEIRA,0.0,0.0,45311,0.6228062609559262,lag-only,RF
2025-05-25,ARNIQUEIRA,0.0,0.0,45311,0.23076779192561994,lag-only,RF
2025-06-01,ARNIQUEIRA,2.0,4.41393922005694,45311,0.008902488912592509,lag-only,RF
2025-06-08,ARNIQUEIRA,0.0,0.0,45311,0.9869631636792335,lag-only,RF
2025-06-15,ARNIQUEIRA,0.0,0.0,45311,0.36661287792996744,lag-only,RF
2025-06-22,ARNIQUEIRA,0.0,0.0,45311,0.4834246101854504,lag-only,RF
2025-06-29,ARNIQUEIRA,0.0,0.0,45311,0.48846721779632346,lag-only,RF
2025-07-06,ARNIQUEIRA,0.0,0.0,45311,0.008902488912592509,lag-only,RF
2025-07-13,ARNIQUEIRA,1.0,2.20696961002847,45311,0.008902488912592509,lag-only,RF
2025-07-20,ARNIQUEIRA,0.0,0.0,45311,0.32679582129713475,lag-only,RF
2025-07-27,ARNIQUEIRA,0.0,0.0,45311,0.24004312230502786,lag-only,RF
2025-08-03,ARNIQUEIRA,0.0,0.0,45311,0.305931362906529,lag-only,RF
2025-08-10,ARNIQUEIRA,0.0,0.0,45311,0.23076779192561994,lag-only,RF
2025-08-17,ARNIQUEIRA,0.0,0.0,45311,0.008902488912592509,lag-only,RF
2025-08-24,ARNIQUEIRA,1.0,2.20696961002847,45311,0.008902488912592509,lag-only,RF
2025-08-31,ARNIQUEIRA,0.0,0.0,45311,0.32679582129713475,lag-only,RF
2025-09-07,ARNIQUEIRA,0.0,0.0,45311,0.24004312230502786,lag-only,RF
2025-09-14,ARNIQUEIRA,0.0,0.0,45311,0.305931362906529,lag-only,RF
2025-09-21,ARNIQUEIRA,0.0,0.0,45311,0.23076779192561994,lag-only,RF
2025-09-28,ARNIQUEIRA,0.0,0.0,45311,0.008902488912592509,lag-only,RF
2025-10-05,ARNIQUEIRA,1.0,2.20696961002847,45311,0.008902488912592509,lag-only,RF
2025-10-12,ARNIQUEIRA,0.0,0.0,45311,0.32679582129713475,lag-only,RF
2025-10-19,ARNIQUEIRA,0.0,0.0,45311,0.24004312230502786,lag-only,RF
2025-10-26,ARNIQUEIRA,0.0,0.0,45311,0.305931362906529,lag-only,RF
2025-11-02,ARNIQUEIRA,0.0,0.0,45311,0.23076779192561994,lag-only,RF
2025-11-09,ARNIQUEIRA,0.0,0.0,45311,0.008902488912592509,lag-only,RF
2025-11-16,ARNIQUEIRA,1.0,2.20696961002847,45311,0.008902488912592509,lag-only,RF
2025-11-23,ARNIQUEIRA,0.0,0.0,45311,0.32679582129713475,lag-only,RF
2025-11-30,ARNIQUEIRA,0.0,0.0,45311,0.24004312230502786,lag-only,RF
2025-12-07,ARNIQUEIRA,0.0,0.0,45311,0.305931362906529,lag-only,RF
2025-12-14,ARNIQUEIRA,0.0,0.0,45311,0.23076779192561994,lag-only,RF
2025-12-21,ARNIQUEIRA,0.0,0.0,45311,0.008902488912592509,lag-only,RF
2025-12-28,ARNIQUEIRA,0.0,0.0,45311,0.008902488912592509,lag-only,RF
2025-01-05,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-01-12,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-01-19,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-01-26,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-02-02,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-02-09,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-02-16,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-02-23,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-03-02,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-03-09,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-03-16,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-03-23,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-03-30,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-04-06,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-04-13,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-04-20,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-04-27,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-05-04,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-05-11,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-05-18,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-05-25,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-06-01,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-06-08,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-06-15,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-06-22,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-06-29,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-07-06,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-07-13,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-07-20,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-07-27,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-08-03,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-08-10,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-08-17,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-08-24,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-08-31,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-09-07,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-09-14,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-09-21,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-09-28,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-10-05,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-10-12,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-10-19,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-10-26,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-11-02,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-11-09,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-11-16,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-11-23,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-11-30,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-12-07,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-12-14,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-12-21,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-12-28,BRAZLÂNDIA,0.0,0.0,42361,0.008902488912592509,lag-only,RF
2025-01-05,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-01-12,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-01-19,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-01-26,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-02-02,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-02-09,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-02-16,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-02-23,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-03-02,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-03-09,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-03-16,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-03-23,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-03-30,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-04-06,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-04-13,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-04-20,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-04-27,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-05-04,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-05-11,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-05-18,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-05-25,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-06-01,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-06-08,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-06-15,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-06-22,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-06-29,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-07-06,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-07-13,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-07-20,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-07-27,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-08-03,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-08-10,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-08-17,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-08-24,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-08-31,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-09-07,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-09-14,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-09-21,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-09-28,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-10-05,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-10-12,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-10-19,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-10-26,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-11-02,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-11-09,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-11-16,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-11-23,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-11-30,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-12-07,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-12-14,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-12-21,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-12-28,CANDANGOLÂNDIA,0.0,0.0,14714,0.008902488912592509,lag-only,RF
2025-01-05,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-01-12,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-01-19,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-01-26,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-02-02,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-02-09,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-02-16,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-02-23,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-03-02,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-03-09,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-03-16,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-03-23,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-03-30,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-04-06,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-04-13,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-04-20,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-04-27,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-05-04,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-05-11,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-05-18,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-05-25,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-06-01,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-06-08,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-06-15,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-06-22,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-06-29,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-07-06,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-07-13,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-07-20,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-07-27,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-08-03,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-08-10,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-08-17,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-08-24,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-08-31,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
2025-09-07,CEILÂNDIA,0.0,0.0,290558,0.008902488912592509,lag-only,RF
