RA,r2_ra,mae_ra,rmse_ra,config,modelo
SAMAMBAIA,-0.6993576851819412,2.098447682204448,2.447547185355024,lag+clima+RA+incid-target,RF
SANTA MARIA,0.16913494195387357,2.942824886353949,3.781108122223118,lag+clima+RA+incid-target,RF
SCIA,,0.0009795221663226016,0.001374449561706646,lag+clima+RA+incid-target,RF
SIA,-0.04221969323801278,0.03885840511482146,0.1402043156658819,lag+clima+RA+incid-target,RF
SOBRADINHO,0.12481209123091386,1.540087014823102,2.0461963908818785,lag+clima+RA+incid-target,RF
SOBRADINHO II,-0.24599340644109535,2.018799416080104,2.608912283162416,lag+clima+RA+incid-target,RF
SOL NASCENTE E POR DO SOL,,0.0026633754105122353,0.0037591640678617394,lag+clima+RA+incid-target,RF
SUDOESTE/OCTOGONAL,0.10013955711057387,1.08509450712828,1.370374479013365,lag+clima+RA+incid-target,RF
SÃO SEBASTIÃO,,0.0024266400750271406,0.0034250290588666663,lag+clima+RA+incid-target,RF
TAGUATINGA,0.026492281953338304,2.804722602022845,3.3373244898498555,lag+clima+RA+incid-target,RF
VARJÃO,,0.003653125630990974,0.006471813509885344,lag+clima+RA+incid-target,RF
VICENTE PIRES,0.14170482309302834,2.095776081467494,2.7323331491940914,lag+clima+RA+incid-target,RF
ÁGUAS CLARAS,,0.003475717257075058,0.00490572653455963,lag+clima+RA+incid-target,RF
AGUA QUENTE,-0.09161717183449358,0.03263858308577462,0.14348844324373836,lag+clima+RA+incid-target,XGB
ARAPOANGA,0.07013578068801296,0.9982083169375675,1.2668503773232476,lag+clima+RA+incid-target,XGB
ARNIQUEIRA,-0.41932404812053714,0.5871746848933823,0.7999066177605858,lag+clima+RA+incid-target,XGB
BRAZLÂNDIA,,0.01297863892400955,0.01739851661030701,lag+clima+RA+incid-target,XGB
CANDANGOLÂNDIA,,0.00495521709741306,0.006371346819851099,lag+clima+RA+incid-target,XGB
CEILÂNDIA,,0.08524512983576547,0.11439588902382995,lag+clima+RA+incid-target,XGB
CRUZEIRO,0.06687893697143676,1.1193801264111813,1.4322045631613882,lag+clima+RA+incid-target,XGB
FERCAL,0.3002964957295948,0.782872515709651,1.1972073196322888,lag+clima+RA+incid-target,XGB
GAMA,0.30408861607285254,2.213058078226906,2.8342256617550388,lag+clima+RA+incid-target,XGB
GUARÁ,,0.03798944144385549,0.05098045994957519,lag+clima+RA+incid-target,XGB
ITAPOÃ,,0.020501595471294983,0.027417982284704684,lag+clima+RA+incid-target,XGB
JARDIM BOTÂNICO,,0.02230746855038384,0.029935818053286815,lag+clima+RA+incid-target,XGB
LAGO NORTE,0.013672798032393962,1.3967304355036754,1.714540465873783,lag+clima+RA+incid-target,XGB
LAGO SUL,0.06459000592115016,1.1814580953536125,1.5322745340545099,lag+clima+RA+incid-target,XGB
NÚCLEO BANDEIRANTE,,0.007690790597636402,0.009888707851361938,lag+clima+RA+incid-target,XGB
PARANOÁ,,0.016993124868488925,0.022725899418820906,lag+clima+RA+incid-target,XGB
PARK WAY,0.024585180509444138,0.4097541588668217,0.58200153123516,lag+clima+RA+incid-target,XGB
PLANALTINA,0.24413536929036717,1.9538050098157846,2.7717288175860557,lag+clima+RA+incid-target,XGB
PLANO PILOTO,0.6829473903143641,2.524868051087679,3.1938128853917207,lag+clima+RA+incid-target,XGB
RECANTO DAS EMAS,-0.28688315285818633,1.3294268758800856,1.6082960239060236,lag+clima+RA+incid-target,XGB
RIACHO FUNDO,0.39066931057366394,0.5840203113999155,0.833102697642937,lag+clima+RA+incid-target,XGB
RIACHO FUNDO II,-0.144142906507138,1.0484291250499231,1.3674101313804912,lag+clima+RA+incid-target,XGB
SAMAMBAIA,-0.7089361205162341,1.9271350721304008,2.4544352967680747,lag+clima+RA+incid-target,XGB
SANTA MARIA,0.19071085100068363,2.913298396967008,3.7316912780420965,lag+clima+RA+incid-target,XGB
SCIA,,0.011796924367462141,0.01581436896114967,lag+clima+RA+incid-target,XGB
SIA,-0.026042226660218937,0.0276055364523828,0.13911192542602657,lag+clima+RA+incid-target,XGB
SOBRADINHO,0.05112878184821901,1.5983079493609758,2.1305920224502133,lag+clima+RA+incid-target,XGB
SOBRADINHO II,-0.11774869865557913,1.9157849716104283,2.4710053852322393,lag+clima+RA+incid-target,XGB
SOL NASCENTE E POR DO SOL,,0.03227754422274122,0.04331529993537856,lag+clima+RA+incid-target,XGB
SUDOESTE/OCTOGONAL,0.04947967731625236,1.1080885910234082,1.4084206529093373,lag+clima+RA+incid-target,XGB
SÃO SEBASTIÃO,,0.029408540014755385,0.03946519978751124,lag+clima+RA+incid-target,XGB
TAGUATINGA,0.014014406572817828,2.7797651994814316,3.3586443666464976,lag+clima+RA+incid-target,XGB
VARJÃO,,0.003722312484729068,0.004463242020076941,lag+clima+RA+incid-target,XGB
VICENTE PIRES,0.027901165796249683,2.138501501061641,2.9078401328718733,lag+clima+RA+incid-target,XGB
ÁGUAS CLARAS,,0.04212234483662536,0.056526667208293566,lag+clima+RA+incid-target,XGB
